	METH: BLCA
A1BG	-0.18474132658412237
A1BG-AS1	0.05848723968647932
A1CF	-0.26154015332787295
A2M	0.04150572357082396
A2ML1	-0.3265210541370751
A4GNT	-0.2143694799525869
AAAS	0.10857601159165899
AACS	-0.010613820812318178
AADAC	-0.0949752525332407
AADACL2	-0.13984677694824232
AADACL3	-0.23700450320172922
AADACL4	-0.0994746630183638
AADAT	-0.017385230718731336
AAED1	0.00864860009390865
AAGAB	-0.015589479625749098
AAK1	-0.004165831202643814
AAMDC	0.017570205213061133
AAMP	-0.005691525820655537
AANAT	-0.05994396113774287
AAR2	-0.05686803414685231
AARD	0.08314345512625457
AARS	0.0013977262213815866
AARS2	-0.04351253931682136
AARSD1	-0.005556397452845177
AASDH	-0.00481333420871678
AASDHPPT	0.007630952173200266
AASS	-0.004063559493925502
AATF	-0.012469071473264473
AATK	-0.08460847485482918
AB019438.55	-0.047880712100414696
AB019438.63	-0.10662725558303147
AB019439.67	-0.06454496154192996
AB019439.68	-0.07141199613754395
AB019441.29	-0.10714668149668818
ABALON	-0.24381052275379858
ABAT	-0.015349000168083795
ABC12-49244600F4.3	-0.05081588552349806
ABCA1	-0.010857745941448036
ABCA11	0.013185905414426855
ABCA17P	-0.05518970285262743
ABCA2	-0.06288367409712638
ABCA3	-0.021053982465937045
ABCA4	-0.09113160464361993
ABCA5	-0.016921008959265325
ABCA6	-0.019426478477132556
ABCA7	-0.008333669411677777
ABCA8	0.04323859908536892
ABCA9	0.03695130465772185
ABCB10	-0.006978439214907716
ABCB10P1	-0.04463841747709058
ABCB10P4	0.2063491357506686
ABCB11	-0.07612136786992509
ABCB4	0.08402098599019608
ABCB5	-0.2562593196238382
ABCB6	0.06964095581717233
ABCB8	-0.012546088008989554
ABCB9	0.003796311732975075
ABCC1	-0.03801997338506978
ABCC10	-0.004390738969474544
ABCC11	-0.0353114416568418
ABCC12	-0.14305875432257587
ABCC2	-0.14588733466406878
ABCC3	-0.03881019892159134
ABCC5	-0.019543377199508397
ABCC8	0.08456923608649403
ABCD1	-0.11296667148676189
ABCD1P2	-0.0032573718840106384
