	score
BRAF	53.76614780426026
TP53	51.793571090698244
PIK3CA	50.12411781311035
TTN	42.86808734893799
MUC16	30.272048110961915
APC	29.294562759399415
PTEN	24.906624927520753
SYNE1	18.486774253845216
KRAS	17.684986486434937
KMT2C	17.579904232025147
CDH1	17.037675437927245
KMT2D	17.01106266975403
CTNNB1	16.286120586395263
FAT1	16.212491550445556
DST	15.811921787261962
ARID1A	14.307022228240967
PBRM1	14.301086778640746
GATA3	13.951774168014527
MAP3K1	13.655651769638062
VHL	13.140098056793214
OBSCN	12.72292456150055
ZFHX3	12.705877094268798
LRP1B	12.373266034126281
TRIO	12.172512645721435
NOTCH1	12.069932594299317
MT-CO3	11.76624279499054
PDE3A	11.734950749874114
MACF1	11.583407707214356
PIK3R1	11.175505847930909
FAT4	11.163299722671509
RYR2	11.083006315231323
FBXW7	10.893775787353515
PDE4D	10.8888443505764
SPOP	10.832148947715758
EEF1A1	10.81578599691391
PDE10A	10.524168688058854
SPTAN1	10.381506414413453
GPC5	10.18593647956848
APOB	9.988854122161865
MT-ND4	9.886088181138039
EP300	9.699338417053223
SPTA1	9.68932026386261
UBR4	9.679446296691895
PCLO	9.632413196563721
LRP2	9.623334159851074
USP9X	9.552320113182068
MYH9	9.540607213973999
TUBB	9.466761492490768
HUWE1	9.433057308197021
DMD	9.306696953773498
HSP90AB1	9.301000949144363
MT-CO1	9.279683530926704
SETD2	9.22764451265335
SIPA1L1	9.141243704557418
NRAS	8.970282363891602
TNRC6A	8.903300404548645
PLEC	8.883337745666504
CREBBP	8.740350737571717
FGF1	8.665812618732453
PRKDC	8.648286049365998
RPLP0	8.513570345938206
KMT2A	8.486290683746338
CTCF	8.474337501525879
SRRM2	8.436697286367416
TRPS1	8.349816207885743
SYNE2	8.335537796020509
MT-ND5	8.319275207519532
PTPN14	8.224639564156533
NCOR1	8.219560041427613
ATM	8.169891591072082
PKM	8.156190145015717
RNF213	8.129108777046204
PBX1	8.081997354030609
SPEN	8.077982869148254
STAG2	8.067171850204467
WNK1	8.051539413928985
NOTCH2	8.03305054306984
IGF1R	7.995308880805969
RPS3	7.952935767173767
SMARCA4	7.906574304103851
RPL13	7.798701751232147
RIMS2	7.789654779434204
SPTBN1	7.789339752197265
RPL3	7.774010441303253
HRAS	7.728601856231689
MT-CO2	7.705743437409401
YWHAE	7.7033171529695394
ERBB4	7.699716856479645
TUBA1B	7.6451153361797335
KDM6A	7.559594528675079
TNRC6B	7.554921102523804
USH2A	7.48440024137497
GNAS	7.480148968696594
GAPDH	7.477671755552292
HSPA8	7.457995740771294
MYCBP2	7.447941515445709
PTPRK	7.443944657444954
TEAD1	7.441798464357853
NF1	7.385634158849716
WDFY3	7.3668273520469665
NIPBL	7.322352182865143
MT-CYB	7.311158595085144
UBR5	7.294213165640831
PRKCA	7.2280533015728
PDE4B	7.132863690853119
IGF2	7.106542582511902
RPS2	7.093626725673675
HSPG2	7.046704225540161
FBN1	7.039815649986267
HMGA1	7.008680353164673
SMAD4	6.958305423259735
ATRX	6.957855892181397
PARD3	6.937329546809196
RPS6	6.8918183588981625
SCN1A	6.883596242666244
LRP1	6.874281661510468
SCD	6.866712675094605
FGFR3	6.856842551231384
TPT1	6.845071878433227
AHNAK	6.833979082107544
RPL4	6.826447769403457
PTPRJ	6.810842381715775
TBL1XR1	6.801698387861252
RUNX1	6.793276155591011
MYO10	6.786104347109795
SMYD3	6.763928517103195
TCF7L2	6.741874713301659
MUC4	6.7246825623512265
CUX1	6.694469863176346
RPL41	6.675350157022476
PCDH15	6.663365640640259
UBC	6.6594535970687865
JMJD1C	6.651254326701165
KMT2B	6.643762402534485
REV3L	6.621702593564987
RPL27A	6.603165506124497
TXNRD1	6.597364696264267
SF3B1	6.55287217259407
CASP8	6.533553690910339
SSH2	6.50761655151844
HERC2	6.496337883472442
RB1	6.444719064235687
SREBF2	6.4420678871870045
STAG1	6.398645080327988
SND1	6.398077501058578
HLA-A	6.359728717803955
MAP2	6.350722668170929
RPL22	6.342357848882675
MDN1	6.338591029644013
RPL5	6.337079706192017
MAP1B	6.312419043779373
RPL15	6.30329430937767
TRRAP	6.300338513851166
RPTOR	6.295266420245171
TKT	6.265513972043991
UTRN	6.262563673853874
PFN1	6.214465124607086
XRCC5	6.212219668030738
AKT1	6.209242682456971
SMG1	6.202104690074921
FRAS1	6.186653794050216
KANSL1	6.182938086390496
ANK3	6.177358620166778
ROBO1	6.171071262359619
ZMYM2	6.156499904990196
FAT3	6.145474967956543
RPLP1	6.139813015460968
RPS9	6.136645945310593
SOX9	6.117094149589539
CHD4	6.105894812345505
SLC7A5	6.091703298687935
FLNA	6.077453458309174
ITPR1	6.049873713850975
CHD7	6.033151304721832
MET	6.019572584033012
RERE	6.01574337720871
RPS4X	5.998366062641144
MAML2	5.970792049765587
RPL37A	5.966150790452957
PALLD	5.959927839040756
YBX1	5.9582711493968965
RPL8	5.945739119052887
SMAD3	5.943961439728737
RPS17	5.9409638011455534
IGF2BP3	5.934122647047043
HNRNPA2B1	5.917519295215607
ANK2	5.9091716742515565
