	score
TP53	77.01969284057617
PIK3CA	75.4175341796875
BRAF	63.99747978210449
APC	39.15239385604858
KRAS	38.984232063293454
PTEN	37.841869850158695
RAC1	35.88429389953613
UBB	34.32518871307373
NRAS	33.90323852539063
RPS27A	32.28271329879761
CREBBP	31.521864261627197
STAT3	30.442653484344483
PIK3R1	30.305290050506592
MAP3K1	30.247683334350587
KMT2D	29.98596633911133
MAPK3	29.98318483352661
HRAS	29.74224431991577
MAPK1	29.588612365722657
MUC16	29.404678211212158
CDH1	29.050411567687988
UBC	28.95681053161621
KMT2C	28.500727081298827
ATM	28.264585628509522
ARID1A	28.11020278930664
SMAD4	26.724539470672607
UBA52	26.400645179748537
FN1	25.710131378173827
CTNNB1	25.49992441177368
MAPK14	24.992138748168944
GATA3	24.835182609558107
ESR1	24.809718284606934
EP300	24.627257442474367
JUN	24.48605802536011
SHC1	24.435613861083983
RUNX1	24.155635051727295
PIK3R2	23.8515647315979
PTPN6	23.742601985931397
LYN	23.558429775238036
VHL	23.455255851745605
SP1	23.45477684020996
JAK1	23.3766237449646
SRC	23.299853610992432
TNRC6B	23.27080909729004
GRB2	23.07473623275757
PLCG1	23.05113422393799
ATF2	22.77238052368164
CCND1	22.68501403808594
PRKCA	22.53821939468384
CRK	22.39107328414917
LCK	22.11937431335449
ITGA1	21.880495691299437
PRKCB	21.709260692596434
FAT1	21.63840642929077
STAT1	21.621167221069335
CDH2	21.531807804107665
TLE1	21.503006629943847
CD3G	21.44869740486145
RXRA	21.435638313293456
IRF7	21.37089897155762
PRKCZ	21.342848930358887
EHHADH	21.322989921569825
KMT2A	21.297520446777344
PML	21.226000080108644
NCK1	21.207432222366332
UBR4	21.171580686569214
VAV2	21.170922708511352
AGO4	21.061833515167237
AKT1	21.022129039764405
CBFB	21.018594017028807
MOV10	21.003877658843994
VEGFA	20.949650526046753
NCOR1	20.932157669067383
ACTB	20.897158031463622
SYNE1	20.68195276260376
TNRC6C	20.679962224960327
AKAP9	20.63083197593689
CDC5L	20.622017822265626
ERBB2	20.598395175933838
NOTCH1	20.547366256713868
AGO3	20.477450609207153
CRKL	20.46618046760559
PPP2R1A	20.380541372299195
VAV3	20.31919460296631
CXCL12	20.30981906890869
EGF	20.251870021820068
AGTR1	20.230169801712037
NGFR	20.21064105987549
ITGB1	20.14049285888672
PRKCQ	20.13939435958862
POLR2E	20.104838314056398
KAT5	20.051568899154663
RASA1	19.904632682800294
TLE4	19.881281719207763
FGFR3	19.876540660858154
LRP2	19.86799027442932
PIK3CB	19.867489919662475
HERC2	19.835587043762207
PLCG2	19.759690656661988
EGFR	19.72149977684021
TGOLN2	19.641637086868286
RELA	19.639567546844482
ADAM10	19.60468581199646
LAMB1	19.59377571105957
PIK3R3	19.58126371383667
NR3C1	19.55392819404602
MAPK11	19.53285280227661
CTNND1	19.520043268203736
DNM1	19.470030393600464
PRKCD	19.432479076385498
RAP1A	19.41136978149414
NGF	19.404419860839845
SDC2	19.39274987220764
FGF2	19.32439351081848
IRF4	19.248341417312623
ABL1	19.235978136062624
CTBP1	19.230892791748047
PAK2	19.227888498306275
CFTR	19.22680778503418
FBXW7	19.212505617141723
CTCF	19.19698405265808
PTAFR	19.194017343521118
NRIP1	19.16239990234375
TLE2	19.160620203018187
IRF3	19.152384128570556
FPR2	19.15139925956726
HMGB1	19.13485360145569
HSP90AA1	19.028491973876953
IRF1	19.024175510406494
IGLL5	19.006893939971924
TFDP1	18.976267557144165
DVL2	18.942271003723146
CSK	18.916782903671265
LAMA1	18.900287857055662
VWF	18.87243413925171
CHUK	18.8578702545166
HDAC5	18.856471338272094
IRF6	18.852857513427736
MEN1	18.84970325469971
QSOX1	18.84727303504944
YWHAE	18.82830183029175
NF1	18.808573484420776
HCK	18.808147859573364
SOS1	18.760784091949464
KNG1	18.70229956626892
STAT6	18.632081747055054
HSPA8	18.62234926223755
YY1	18.585534896850586
PCNA	18.58549322128296
LPAR1	18.574551010131835
PTK2	18.56997802734375
TLE3	18.56443154335022
JAK2	18.557273445129393
BCAR1	18.548462686538695
ARRB2	18.53173137664795
RHOB	18.5208993434906
GNAQ	18.50917045593262
THBS1	18.48702964782715
ACTA1	18.482460107803345
GAB1	18.472723541259764
HDAC2	18.444940795898436
CXCR4	18.425766944885254
TGFB1	18.420944185256957
DNMT3A	18.411242027282714
SAA1	18.406278610229492
RTP5	18.39837000846863
IRF2	18.370976877212524
TRIM25	18.36386251449585
ATR	18.34541449546814
FGG	18.338477268218995
STAT4	18.318812522888184
RAP1B	18.275690889358522
SYK	18.27510061264038
ADRB2	18.259917945861815
POLR2C	18.25037486076355
GNGT1	18.24556158065796
AGO1	18.221067304611207
HUWE1	18.215263738632203
JAK3	18.202737798690794
DNM2	18.195029344558716
