	score
TP53	102.92929397583008
PIK3CA	90.46108825683594
TTN	71.18358879089355
APC	67.4865182876587
KRAS	51.02516536712646
BRAF	44.14586465835571
MUC16	41.837109146118166
UBC	40.38349334716797
PTEN	38.6683406829834
UBB	38.11725082397461
UBA52	36.89363927841187
PIK3R1	36.781734523773196
RPS27A	35.64502239227295
TRAF6	34.383925399780274
MAPK1	33.5816471862793
NRAS	31.94973192214966
KMT2C	31.939258880615235
CTNNB1	31.513488807678222
RELA	31.418398971557618
KMT2D	31.245503311157226
SRC	31.125677967071532
STAT1	31.010434055328368
EP300	30.609516162872314
MAP3K1	30.520164737701418
JUN	30.30598434448242
HRAS	29.752915325164796
MAPK3	29.743837623596193
RAC1	29.69843496322632
VHL	29.09701665878296
IRAK1	28.93936836242676
STAT3	28.857016963958742
FAT4	28.72173288345337
PTPN11	28.61953067779541
IRAK4	28.247872867584228
RYR2	27.99630382537842
RTEL1	27.845438899993898
OBSCN	27.826832752227784
TOP3A	27.734359588623047
RMI2	27.652906074523926
MAPK8	27.369383296966554
SHC1	27.26232999801636
RMI1	27.22137872695923
SLX4	27.21055923461914
NFKB1	27.168336467742918
MAPK14	27.133363723754883
MYD88	27.033686027526855
PCLO	27.00005281448364
SOS1	26.999472770690918
SYK	26.45216672897339
NOTCH1	26.141161270141602
PRKACA	26.080972747802733
PRKCQ	25.88669687271118
FGFR3	25.85132019042969
NR3C1	25.53062484741211
FLG	25.523965396881103
SMAD4	25.405253829956056
IL1RAP	24.950211181640626
LYN	24.931335887908936
IL33	24.90796527862549
PCNT	24.89690324783325
MTOR	24.833400592803955
MAPK11	24.79566072463989
SLX1A	24.555788345336914
IL1RL1	24.44740264892578
PDGFRB	24.43032886505127
SPIDR	24.42227159500122
TRAF2	24.278763084411622
HSP90AA1	24.17239158630371
CASP8	24.16523431777954
FOS	24.102615623474122
ERBB4	24.056654682159422
JAK2	24.031600666046142
MAPK10	24.023122329711914
VAV1	23.951588382720946
PIK3CD	23.918769855499267
CREBBP	23.879906673431396
HSPA8	23.827581243515013
PIK3CB	23.738336353302003
MAPK9	23.733416233062744
RAD51	23.73293378829956
KIT	23.654074363708496
RAD50	23.63034231185913
STAT5A	23.62954402923584
PRKCA	23.62751033782959
LCK	23.583159694671632
GEN1	23.457950382232667
FGFR2	23.427331352233885
PRKCB	23.358174934387208
HSP90AB1	23.302063846588133
NGFR	23.20629440307617
PGR	23.14980541229248
MET	23.145721759796142
ERBB2	23.135540542602538
VAV3	23.12508409500122
RHOA	23.10737129211426
MUS81	23.05913902282715
